호선,역번호,역명,hour,승차_Weekday,승차_Saturday,승차_Sunday,하차_Weekday,하차_Saturday,하차_Sunday,환승_Weekday,환승_Saturday,환승_Sunday,interval_Weekday,interval_Saturday,interval_Sunday,capacity,상선_Weekday,상선_Saturday,상선_Sunday,하선_Weekday,하선_Saturday,하선_Sunday
6,640,고려대,23-24시간대,99.1484375,73.46153846153847,54.0,256.82307692307694,292.9795918367347,225.8695652173913,0.0,0.0,0.0,8.0,8.0,8.0,1256,6.0,5.05,5.05,18.45,29.6,17.2
6,640,고려대,24시이후,20.370860927152318,0.14814814814814814,0.3103448275862069,117.79577464788733,6.928571428571429,4.269230769230769,0.0,0.0,0.0,8.0,8.0,8.0,1256,3.75,0.0,0.0,8.15,0.0,0.0
6,641,월곡,06시이전,242.86746987951807,175.96226415094338,92.98076923076923,30.223107569721115,22.150943396226417,15.07843137254902,0.0,0.0,0.0,8.0,8.0,8.0,1256,18.2,13.7,7.0,7.6,5.2,3.1
6,641,월곡,06-07시간대,538.4291497975709,214.2549019607843,124.76923076923077,138.95238095238096,95.0377358490566,73.1923076923077,0.0,0.0,0.0,8.0,8.0,8.0,1256,23.6,12.85,7.45,9.05,6.75,5.15
6,641,월곡,07-08시간대,1723.8744939271255,342.8235294117647,184.8653846153846,299.4734693877551,119.9423076923077,89.3,0.0,0.0,0.0,4.0,8.0,8.0,1256,54.900000000000006,19.6,10.899999999999999,12.15,7.3,5.6
6,641,월곡,08-09시간대,1960.987854251012,546.5294117647059,336.96153846153845,1128.1052631578948,263.8958333333333,153.80434782608697,0.0,0.0,0.0,4.0,8.0,8.0,1256,80.55,33.6,18.700000000000003,15.55,12.899999999999999,8.75
6,641,월곡,09-10시간대,921.8373983739838,612.8823529411765,432.1730769230769,711.280487804878,274.85714285714283,186.3,0.0,0.0,0.0,8.0,8.0,8.0,1256,56.6,35.599999999999994,23.5,9.649999999999999,13.6,11.9
6,641,월곡,10-11시간대,558.5354330708661,598.3333333333334,460.28846153846155,520.3629343629343,277.88,227.94117647058823,0.0,0.0,0.0,8.0,8.0,8.0,1256,34.15,33.4,25.35,10.4,11.45,14.350000000000001
6,641,월곡,11-12시간대,522.2170542635658,619.5490196078431,443.9807692307692,472.4,330.6470588235294,216.34615384615384,0.0,0.0,0.0,8.0,8.0,8.0,1256,24.8,35.7,26.950000000000003,16.2,13.45,9.8
6,641,월곡,12-13시간대,526.26171875,640.2352941176471,517.2884615384615,458.2901960784314,397.7755102040816,272.90384615384613,0.0,0.0,0.0,8.0,8.0,8.0,1256,26.299999999999997,37.55,27.1,16.9,17.7,13.95
6,641,월곡,13-14시간대,549.1589147286821,601.1372549019608,470.21153846153845,500.54651162790697,440.8627450980392,302.59615384615387,0.0,0.0,0.0,8.0,8.0,8.0,1256,25.450000000000003,37.3,29.25,17.65,21.55,16.299999999999997
6,641,월곡,14-15시간대,546.4192307692308,552.54,399.81632653061223,494.031007751938,455.52941176470586,332.84615384615387,0.0,0.0,0.0,8.0,8.0,8.0,1256,21.2,31.4,26.65,19.450000000000003,22.85,14.8
